,date,containment_health_index_average
35072,2020-01-01,6.85
35073,2020-01-02,6.85
35074,2020-01-03,6.85
35075,2020-01-04,6.85
35076,2020-01-05,12.2
35077,2020-01-06,12.2
35078,2020-01-07,12.2
35079,2020-01-08,12.2
35080,2020-01-09,12.2
35081,2020-01-10,12.2
35082,2020-01-11,12.2
35083,2020-01-12,12.2
35084,2020-01-13,12.2
35085,2020-01-14,12.2
35086,2020-01-15,15.77
35087,2020-01-16,15.77
35088,2020-01-17,15.77
35089,2020-01-18,15.77
35090,2020-01-19,15.77
35091,2020-01-20,16.67
35092,2020-01-21,18.45
35093,2020-01-22,30.95
35094,2020-01-23,42.86
35095,2020-01-24,42.86
35096,2020-01-25,44.64
35097,2020-01-26,58.93
35098,2020-01-27,58.93
35099,2020-01-28,63.69
35100,2020-01-29,63.69
35101,2020-01-30,63.69
35102,2020-01-31,63.69
35103,2020-02-01,68.45
35104,2020-02-02,68.45
35105,2020-02-03,68.45
35106,2020-02-04,68.45
35107,2020-02-05,68.45
35108,2020-02-06,68.45
35109,2020-02-07,68.45
35110,2020-02-08,68.45
35111,2020-02-09,68.45
35112,2020-02-10,67.26
35113,2020-02-11,67.26
35114,2020-02-12,67.26
35115,2020-02-13,67.26
35116,2020-02-14,67.26
35117,2020-02-15,67.26
35118,2020-02-16,69.64
35119,2020-02-17,69.64
35120,2020-02-18,69.64
35121,2020-02-19,69.64
35122,2020-02-20,69.64
35123,2020-02-21,69.64
35124,2020-02-22,69.64
35125,2020-02-23,69.64
35126,2020-02-24,69.64
35127,2020-02-25,73.21
35128,2020-02-26,73.21
35129,2020-02-27,73.21
35130,2020-02-28,73.21
35131,2020-02-29,73.21
35132,2020-03-01,73.21
35133,2020-03-02,73.21
35134,2020-03-03,73.21
35135,2020-03-04,73.21
35136,2020-03-05,73.21
35137,2020-03-06,73.21
35138,2020-03-07,73.21
35139,2020-03-08,73.21
35140,2020-03-09,73.21
35141,2020-03-10,73.21
35142,2020-03-11,73.21
35143,2020-03-12,73.21
35144,2020-03-13,73.21
35145,2020-03-14,73.21
35146,2020-03-15,73.21
35147,2020-03-16,72.02
35148,2020-03-17,72.02
35149,2020-03-18,72.02
35150,2020-03-19,72.02
35151,2020-03-20,72.02
35152,2020-03-21,72.02
35153,2020-03-22,72.02
35154,2020-03-23,72.02
35155,2020-03-24,71.13
35156,2020-03-25,71.13
35157,2020-03-26,72.92
35158,2020-03-27,72.92
35159,2020-03-28,67.56
35160,2020-03-29,67.56
35161,2020-03-30,67.56
35162,2020-03-31,69.94
35163,2020-04-01,69.94
35164,2020-04-02,69.94
35165,2020-04-03,67.56
35166,2020-04-04,67.56
35167,2020-04-05,67.56
35168,2020-04-06,67.56
35169,2020-04-07,67.56
35170,2020-04-08,59.23
35171,2020-04-09,59.23
35172,2020-04-10,59.23
35173,2020-04-11,59.23
35174,2020-04-12,59.23
35175,2020-04-13,59.23
35176,2020-04-14,59.23
35177,2020-04-15,59.23
35178,2020-04-16,59.23
35179,2020-04-17,59.23
35180,2020-04-18,59.23
35181,2020-04-19,59.23
35182,2020-04-20,59.23
35183,2020-04-21,59.23
35184,2020-04-22,59.23
35185,2020-04-23,59.23
35186,2020-04-24,59.23
35187,2020-04-25,59.23
35188,2020-04-26,59.23
35189,2020-04-27,59.23
35190,2020-04-28,59.23
35191,2020-04-29,59.23
35192,2020-04-30,59.23
35193,2020-05-01,59.23
35194,2020-05-02,59.23
35195,2020-05-03,59.23
35196,2020-05-04,59.23
35197,2020-05-05,59.23
35198,2020-05-06,59.23
35199,2020-05-07,59.23
35200,2020-05-08,59.23
35201,2020-05-09,59.23
35202,2020-05-10,75.3
35203,2020-05-11,75.3
35204,2020-05-12,75.3
35205,2020-05-13,75.3
35206,2020-05-14,75.3
35207,2020-05-15,75.3
35208,2020-05-16,75.3
35209,2020-05-17,75.3
35210,2020-05-18,75.3
35211,2020-05-19,75.3
35212,2020-05-20,75.3
35213,2020-05-21,75.3
35214,2020-05-22,75.3
35215,2020-05-23,75.3
35216,2020-05-24,75.3
35217,2020-05-25,75.3
35218,2020-05-26,75.3
35219,2020-05-27,75.3
35220,2020-05-28,75.3
35221,2020-05-29,75.3
35222,2020-05-30,75.3
35223,2020-05-31,75.3
35224,2020-06-01,75.3
35225,2020-06-02,75.3
35226,2020-06-03,72.92
35227,2020-06-04,72.92
35228,2020-06-05,72.92
35229,2020-06-06,72.92
35230,2020-06-07,72.92
35231,2020-06-08,72.92
35232,2020-06-09,72.92
35233,2020-06-10,72.92
35234,2020-06-11,72.92
35235,2020-06-12,72.92
35236,2020-06-13,72.92
35237,2020-06-14,72.92
35238,2020-06-15,72.92
35239,2020-06-16,72.92
35240,2020-06-17,72.92
35241,2020-06-18,72.92
35242,2020-06-19,72.92
35243,2020-06-20,72.92
35244,2020-06-21,72.92
35245,2020-06-22,72.92
35246,2020-06-23,72.92
35247,2020-06-24,72.92
35248,2020-06-25,72.92
35249,2020-06-26,72.92
35250,2020-06-27,72.92
35251,2020-06-28,72.92
35252,2020-06-29,72.92
35253,2020-06-30,72.92
35254,2020-07-01,72.92
35255,2020-07-02,72.92
35256,2020-07-03,72.92
35257,2020-07-04,72.92
35258,2020-07-05,72.92
35259,2020-07-06,72.92
35260,2020-07-07,72.92
35261,2020-07-08,72.92
35262,2020-07-09,72.92
35263,2020-07-10,72.92
35264,2020-07-11,72.92
35265,2020-07-12,72.92
35266,2020-07-13,72.92
35267,2020-07-14,72.92
35268,2020-07-15,72.92
35269,2020-07-16,72.92
35270,2020-07-17,72.92
35271,2020-07-18,72.92
35272,2020-07-19,72.92
35273,2020-07-20,72.92
35274,2020-07-21,72.92
35275,2020-07-22,72.92
35276,2020-07-23,72.92
35277,2020-07-24,72.92
35278,2020-07-25,72.92
35279,2020-07-26,72.92
35280,2020-07-27,72.92
35281,2020-07-28,72.92
35282,2020-07-29,72.92
35283,2020-07-30,72.92
35284,2020-07-31,72.92
35285,2020-08-01,72.92
35286,2020-08-02,72.92
