,date,economic_support_index
35072,2020-01-01,0.0
35073,2020-01-02,0.0
35074,2020-01-03,0.0
35075,2020-01-04,0.0
35076,2020-01-05,0.0
35077,2020-01-06,0.0
35078,2020-01-07,0.0
35079,2020-01-08,0.0
35080,2020-01-09,0.0
35081,2020-01-10,0.0
35082,2020-01-11,0.0
35083,2020-01-12,0.0
35084,2020-01-13,0.0
35085,2020-01-14,0.0
35086,2020-01-15,0.0
35087,2020-01-16,0.0
35088,2020-01-17,0.0
35089,2020-01-18,0.0
35090,2020-01-19,0.0
35091,2020-01-20,0.0
35092,2020-01-21,0.0
35093,2020-01-22,0.0
35094,2020-01-23,0.0
35095,2020-01-24,0.0
35096,2020-01-25,0.0
35097,2020-01-26,0.0
35098,2020-01-27,0.0
35099,2020-01-28,0.0
35100,2020-01-29,0.0
35101,2020-01-30,0.0
35102,2020-01-31,0.0
35103,2020-02-01,0.0
35104,2020-02-02,0.0
35105,2020-02-03,0.0
35106,2020-02-04,0.0
35107,2020-02-05,0.0
35108,2020-02-06,0.0
35109,2020-02-07,0.0
35110,2020-02-08,0.0
35111,2020-02-09,0.0
35112,2020-02-10,0.0
35113,2020-02-11,0.0
35114,2020-02-12,0.0
35115,2020-02-13,0.0
35116,2020-02-14,0.0
35117,2020-02-15,0.0
35118,2020-02-16,0.0
35119,2020-02-17,0.0
35120,2020-02-18,0.0
35121,2020-02-19,0.0
35122,2020-02-20,0.0
35123,2020-02-21,0.0
35124,2020-02-22,0.0
35125,2020-02-23,0.0
35126,2020-02-24,0.0
35127,2020-02-25,0.0
35128,2020-02-26,0.0
35129,2020-02-27,0.0
35130,2020-02-28,0.0
35131,2020-02-29,0.0
35132,2020-03-01,0.0
35133,2020-03-02,0.0
35134,2020-03-03,0.0
35135,2020-03-04,0.0
35136,2020-03-05,0.0
35137,2020-03-06,0.0
35138,2020-03-07,0.0
35139,2020-03-08,0.0
35140,2020-03-09,0.0
35141,2020-03-10,0.0
35142,2020-03-11,0.0
35143,2020-03-12,0.0
35144,2020-03-13,0.0
35145,2020-03-14,0.0
35146,2020-03-15,0.0
35147,2020-03-16,0.0
35148,2020-03-17,0.0
35149,2020-03-18,0.0
35150,2020-03-19,0.0
35151,2020-03-20,0.0
35152,2020-03-21,0.0
35153,2020-03-22,0.0
35154,2020-03-23,0.0
35155,2020-03-24,0.0
35156,2020-03-25,0.0
35157,2020-03-26,0.0
35158,2020-03-27,0.0
35159,2020-03-28,0.0
35160,2020-03-29,0.0
35161,2020-03-30,0.0
35162,2020-03-31,0.0
35163,2020-04-01,0.0
35164,2020-04-02,0.0
35165,2020-04-03,0.0
35166,2020-04-04,0.0
35167,2020-04-05,0.0
35168,2020-04-06,0.0
35169,2020-04-07,0.0
35170,2020-04-08,0.0
35171,2020-04-09,0.0
35172,2020-04-10,0.0
35173,2020-04-11,12.5
35174,2020-04-12,12.5
35175,2020-04-13,12.5
35176,2020-04-14,12.5
35177,2020-04-15,12.5
35178,2020-04-16,12.5
35179,2020-04-17,12.5
35180,2020-04-18,12.5
35181,2020-04-19,12.5
35182,2020-04-20,12.5
35183,2020-04-21,12.5
35184,2020-04-22,12.5
35185,2020-04-23,12.5
35186,2020-04-24,12.5
35187,2020-04-25,12.5
35188,2020-04-26,12.5
35189,2020-04-27,12.5
35190,2020-04-28,12.5
35191,2020-04-29,12.5
35192,2020-04-30,12.5
35193,2020-05-01,12.5
35194,2020-05-02,12.5
35195,2020-05-03,12.5
35196,2020-05-04,12.5
35197,2020-05-05,12.5
35198,2020-05-06,12.5
35199,2020-05-07,12.5
35200,2020-05-08,12.5
35201,2020-05-09,12.5
35202,2020-05-10,12.5
35203,2020-05-11,12.5
35204,2020-05-12,12.5
35205,2020-05-13,12.5
35206,2020-05-14,12.5
35207,2020-05-15,12.5
35208,2020-05-16,12.5
35209,2020-05-17,12.5
35210,2020-05-18,12.5
35211,2020-05-19,12.5
35212,2020-05-20,12.5
35213,2020-05-21,37.5
35214,2020-05-22,37.5
35215,2020-05-23,37.5
35216,2020-05-24,37.5
35217,2020-05-25,37.5
35218,2020-05-26,37.5
35219,2020-05-27,37.5
35220,2020-05-28,37.5
35221,2020-05-29,37.5
35222,2020-05-30,37.5
35223,2020-05-31,37.5
35224,2020-06-01,37.5
35225,2020-06-02,37.5
35226,2020-06-03,37.5
35227,2020-06-04,37.5
35228,2020-06-05,37.5
35229,2020-06-06,37.5
35230,2020-06-07,37.5
35231,2020-06-08,37.5
35232,2020-06-09,37.5
35233,2020-06-10,37.5
35234,2020-06-11,37.5
35235,2020-06-12,37.5
35236,2020-06-13,37.5
35237,2020-06-14,37.5
35238,2020-06-15,37.5
35239,2020-06-16,37.5
35240,2020-06-17,37.5
35241,2020-06-18,37.5
35242,2020-06-19,37.5
35243,2020-06-20,37.5
35244,2020-06-21,37.5
35245,2020-06-22,37.5
35246,2020-06-23,37.5
35247,2020-06-24,37.5
35248,2020-06-25,37.5
35249,2020-06-26,37.5
35250,2020-06-27,37.5
35251,2020-06-28,37.5
35252,2020-06-29,37.5
35253,2020-06-30,37.5
35254,2020-07-01,37.5
35255,2020-07-02,37.5
35256,2020-07-03,37.5
35257,2020-07-04,37.5
35258,2020-07-05,37.5
35259,2020-07-06,37.5
35260,2020-07-07,37.5
35261,2020-07-08,37.5
35262,2020-07-09,37.5
35263,2020-07-10,37.5
35264,2020-07-11,37.5
35265,2020-07-12,37.5
35266,2020-07-13,37.5
35267,2020-07-14,37.5
35268,2020-07-15,37.5
35269,2020-07-16,37.5
35270,2020-07-17,37.5
35271,2020-07-18,37.5
35272,2020-07-19,37.5
35273,2020-07-20,37.5
35274,2020-07-21,37.5
35275,2020-07-22,37.5
35276,2020-07-23,37.5
35277,2020-07-24,37.5
35278,2020-07-25,37.5
35279,2020-07-26,37.5
35280,2020-07-27,37.5
35281,2020-07-28,37.5
35282,2020-07-29,37.5
35283,2020-07-30,37.5
35284,2020-07-31,37.5
35285,2020-08-01,37.5
35286,2020-08-02,37.5
35287,2020-08-03,37.5
35288,2020-08-04,37.5
35289,2020-08-05,37.5
35290,2020-08-06,37.5
35291,2020-08-07,37.5
35292,2020-08-08,37.5
35293,2020-08-09,37.5
35294,2020-08-10,37.5
35295,2020-08-11,37.5
35296,2020-08-12,37.5
35297,2020-08-13,37.5
35298,2020-08-14,37.5
35299,2020-08-15,37.5
35300,2020-08-16,37.5
35301,2020-08-17,37.5
35302,2020-08-18,37.5
35303,2020-08-19,37.5
35304,2020-08-20,37.5
35305,2020-08-21,37.5
35306,2020-08-22,37.5
35307,2020-08-23,37.5
35308,2020-08-24,37.5
35309,2020-08-25,37.5
35310,2020-08-26,37.5
35311,2020-08-27,37.5
35312,2020-08-28,37.5
35313,2020-08-29,37.5
35314,2020-08-30,37.5
35315,2020-08-31,37.5
35316,2020-09-01,37.5
35317,2020-09-02,37.5
35318,2020-09-03,37.5
35319,2020-09-04,37.5
35320,2020-09-05,37.5
35321,2020-09-06,37.5
35322,2020-09-07,37.5
35323,2020-09-08,37.5
35324,2020-09-09,37.5
35325,2020-09-10,37.5
35326,2020-09-11,37.5
35327,2020-09-12,37.5
35328,2020-09-13,37.5
35329,2020-09-14,37.5
35330,2020-09-15,37.5
35331,2020-09-16,37.5
35332,2020-09-17,37.5
35333,2020-09-18,37.5
35334,2020-09-19,37.5
35335,2020-09-20,37.5
35336,2020-09-21,37.5
35337,2020-09-22,37.5
35338,2020-09-23,37.5
35339,2020-09-24,37.5
35340,2020-09-25,37.5
35341,2020-09-26,37.5
35342,2020-09-27,37.5
35343,2020-09-28,37.5
35344,2020-09-29,37.5
35345,2020-09-30,37.5
35346,2020-10-01,37.5
35347,2020-10-02,37.5
35348,2020-10-03,37.5
35349,2020-10-04,37.5
35350,2020-10-05,37.5
35351,2020-10-06,37.5
35352,2020-10-07,37.5
35353,2020-10-08,37.5
35354,2020-10-09,37.5
35355,2020-10-10,37.5
35356,2020-10-11,37.5
35357,2020-10-12,37.5
35358,2020-10-13,37.5
35359,2020-10-14,37.5
35360,2020-10-15,37.5
35361,2020-10-16,37.5
