,date,goverment_response_index_average
35072,2020-01-01,5.99
35073,2020-01-02,5.99
35074,2020-01-03,5.99
35075,2020-01-04,5.99
35076,2020-01-05,10.68
35077,2020-01-06,10.68
35078,2020-01-07,10.68
35079,2020-01-08,10.68
35080,2020-01-09,10.68
35081,2020-01-10,10.68
35082,2020-01-11,10.68
35083,2020-01-12,10.68
35084,2020-01-13,10.68
35085,2020-01-14,10.68
35086,2020-01-15,13.8
35087,2020-01-16,13.8
35088,2020-01-17,13.8
35089,2020-01-18,13.8
35090,2020-01-19,13.8
35091,2020-01-20,14.58
35092,2020-01-21,16.15
35093,2020-01-22,27.08
35094,2020-01-23,37.5
35095,2020-01-24,37.5
35096,2020-01-25,39.06
35097,2020-01-26,51.56
35098,2020-01-27,51.56
35099,2020-01-28,55.73
35100,2020-01-29,55.73
35101,2020-01-30,55.73
35102,2020-01-31,55.73
35103,2020-02-01,59.9
35104,2020-02-02,59.9
35105,2020-02-03,59.9
35106,2020-02-04,59.9
35107,2020-02-05,59.9
35108,2020-02-06,59.9
35109,2020-02-07,59.9
35110,2020-02-08,59.9
35111,2020-02-09,59.9
35112,2020-02-10,58.85
35113,2020-02-11,58.85
35114,2020-02-12,58.85
35115,2020-02-13,58.85
35116,2020-02-14,58.85
35117,2020-02-15,58.85
35118,2020-02-16,60.94
35119,2020-02-17,60.94
35120,2020-02-18,60.94
35121,2020-02-19,60.94
35122,2020-02-20,60.94
35123,2020-02-21,60.94
35124,2020-02-22,60.94
35125,2020-02-23,60.94
35126,2020-02-24,60.94
35127,2020-02-25,64.06
35128,2020-02-26,64.06
35129,2020-02-27,64.06
35130,2020-02-28,64.06
35131,2020-02-29,64.06
35132,2020-03-01,64.06
35133,2020-03-02,64.06
35134,2020-03-03,64.06
35135,2020-03-04,64.06
35136,2020-03-05,64.06
35137,2020-03-06,64.06
35138,2020-03-07,64.06
35139,2020-03-08,64.06
35140,2020-03-09,64.06
35141,2020-03-10,64.06
35142,2020-03-11,64.06
35143,2020-03-12,64.06
35144,2020-03-13,64.06
35145,2020-03-14,64.06
35146,2020-03-15,64.06
35147,2020-03-16,63.02
35148,2020-03-17,63.02
35149,2020-03-18,63.02
35150,2020-03-19,63.02
35151,2020-03-20,63.02
35152,2020-03-21,63.02
