,date,stringency_index_average
35072,2020-01-01,0.0
35073,2020-01-02,0.0
35074,2020-01-03,0.0
35075,2020-01-04,0.0
35076,2020-01-05,2.78
35077,2020-01-06,2.78
35078,2020-01-07,2.78
35079,2020-01-08,2.78
35080,2020-01-09,2.78
35081,2020-01-10,2.78
35082,2020-01-11,2.78
35083,2020-01-12,2.78
35084,2020-01-13,2.78
35085,2020-01-14,2.78
35086,2020-01-15,8.33
35087,2020-01-16,8.33
35088,2020-01-17,8.33
35089,2020-01-18,8.33
35090,2020-01-19,8.33
35091,2020-01-20,8.33
35092,2020-01-21,8.33
35093,2020-01-22,26.39
35094,2020-01-23,44.91
35095,2020-01-24,44.91
35096,2020-01-25,47.69
35097,2020-01-26,69.91
35098,2020-01-27,69.91
35099,2020-01-28,69.91
35100,2020-01-29,69.91
35101,2020-01-30,69.91
35102,2020-01-31,69.91
35103,2020-02-01,77.31
35104,2020-02-02,77.31
35105,2020-02-03,77.31
35106,2020-02-04,77.31
35107,2020-02-05,77.31
35108,2020-02-06,77.31
35109,2020-02-07,77.31
35110,2020-02-08,77.31
35111,2020-02-09,77.31
35112,2020-02-10,75.46
35113,2020-02-11,75.46
35114,2020-02-12,75.46
35115,2020-02-13,75.46
35116,2020-02-14,75.46
35117,2020-02-15,75.46
35118,2020-02-16,75.46
35119,2020-02-17,75.46
35120,2020-02-18,75.46
35121,2020-02-19,75.46
35122,2020-02-20,75.46
35123,2020-02-21,75.46
35124,2020-02-22,75.46
35125,2020-02-23,75.46
35126,2020-02-24,75.46
35127,2020-02-25,81.02
35128,2020-02-26,81.02
35129,2020-02-27,81.02
35130,2020-02-28,81.02
35131,2020-02-29,81.02
35132,2020-03-01,81.02
35133,2020-03-02,81.02
35134,2020-03-03,81.02
35135,2020-03-04,81.02
35136,2020-03-05,81.02
35137,2020-03-06,81.02
35138,2020-03-07,81.02
35139,2020-03-08,81.02
35140,2020-03-09,81.02
35141,2020-03-10,81.02
35142,2020-03-11,81.02
35143,2020-03-12,81.02
35144,2020-03-13,81.02
35145,2020-03-14,81.02
35146,2020-03-15,81.02
35147,2020-03-16,79.17
35148,2020-03-17,79.17
35149,2020-03-18,79.17
35150,2020-03-19,79.17
35151,2020-03-20,79.17
35152,2020-03-21,79.17
35153,2020-03-22,79.17
35154,2020-03-23,79.17
35155,2020-03-24,79.17
35156,2020-03-25,79.17
35157,2020-03-26,81.94
35158,2020-03-27,81.94
35159,2020-03-28,73.61
35160,2020-03-29,73.61
35161,2020-03-30,73.61
35162,2020-03-31,73.61
35163,2020-04-01,73.61
35164,2020-04-02,73.61
35165,2020-04-03,69.91
35166,2020-04-04,69.91
35167,2020-04-05,69.91
35168,2020-04-06,69.91
35169,2020-04-07,69.91
35170,2020-04-08,56.94
35171,2020-04-09,56.94
35172,2020-04-10,56.94
35173,2020-04-11,56.94
35174,2020-04-12,56.94
35175,2020-04-13,56.94
35176,2020-04-14,56.94
35177,2020-04-15,56.94
35178,2020-04-16,56.94
35179,2020-04-17,56.94
35180,2020-04-18,56.94
35181,2020-04-19,56.94
35182,2020-04-20,56.94
35183,2020-04-21,56.94
35184,2020-04-22,56.94
35185,2020-04-23,56.94
35186,2020-04-24,56.94
35187,2020-04-25,56.94
35188,2020-04-26,56.94
35189,2020-04-27,56.94
35190,2020-04-28,56.94
35191,2020-04-29,56.94
35192,2020-04-30,56.94
35193,2020-05-01,56.94
35194,2020-05-02,56.94
35195,2020-05-03,56.94
35196,2020-05-04,56.94
35197,2020-05-05,56.94
35198,2020-05-06,56.94
35199,2020-05-07,56.94
35200,2020-05-08,56.94
35201,2020-05-09,56.94
35202,2020-05-10,81.94
35203,2020-05-11,81.94
35204,2020-05-12,81.94
35205,2020-05-13,81.94
35206,2020-05-14,81.94
35207,2020-05-15,81.94
35208,2020-05-16,81.94
35209,2020-05-17,81.94
35210,2020-05-18,81.94
35211,2020-05-19,81.94
35212,2020-05-20,81.94
35213,2020-05-21,81.94
35214,2020-05-22,81.94
35215,2020-05-23,81.94
35216,2020-05-24,81.94
35217,2020-05-25,81.94
35218,2020-05-26,81.94
35219,2020-05-27,81.94
35220,2020-05-28,81.94
35221,2020-05-29,81.94
35222,2020-05-30,81.94
35223,2020-05-31,81.94
35224,2020-06-01,81.94
35225,2020-06-02,81.94
35226,2020-06-03,78.24
35227,2020-06-04,78.24
35228,2020-06-05,78.24
35229,2020-06-06,78.24
35230,2020-06-07,78.24
35231,2020-06-08,78.24
35232,2020-06-09,78.24
35233,2020-06-10,78.24
35234,2020-06-11,78.24
35235,2020-06-12,78.24
35236,2020-06-13,78.24
35237,2020-06-14,78.24
35238,2020-06-15,78.24
35239,2020-06-16,78.24
35240,2020-06-17,78.24
35241,2020-06-18,78.24
35242,2020-06-19,78.24
35243,2020-06-20,78.24
35244,2020-06-21,78.24
35245,2020-06-22,78.24
35246,2020-06-23,78.24
35247,2020-06-24,78.24
35248,2020-06-25,78.24
35249,2020-06-26,78.24
35250,2020-06-27,78.24
35251,2020-06-28,78.24
35252,2020-06-29,78.24
35253,2020-06-30,78.24
35254,2020-07-01,78.24
35255,2020-07-02,78.24
35256,2020-07-03,78.24
35257,2020-07-04,78.24
35258,2020-07-05,78.24
35259,2020-07-06,78.24
35260,2020-07-07,78.24
35261,2020-07-08,78.24
35262,2020-07-09,78.24
35263,2020-07-10,78.24
35264,2020-07-11,78.24
35265,2020-07-12,78.24
35266,2020-07-13,78.24
35267,2020-07-14,78.24
35268,2020-07-15,78.24
35269,2020-07-16,78.24
35270,2020-07-17,78.24
35271,2020-07-18,78.24
35272,2020-07-19,78.24
35273,2020-07-20,78.24
35274,2020-07-21,78.24
35275,2020-07-22,78.24
35276,2020-07-23,78.24
35277,2020-07-24,78.24
35278,2020-07-25,78.24
35279,2020-07-26,78.24
35280,2020-07-27,78.24
35281,2020-07-28,78.24
35282,2020-07-29,78.24
35283,2020-07-30,78.24
35284,2020-07-31,78.24
35285,2020-08-01,78.24
35286,2020-08-02,78.24
35287,2020-08-03,78.24
35288,2020-08-04,78.24
35289,2020-08-05,78.24
35290,2020-08-06,78.24
35291,2020-08-07,78.24
35292,2020-08-08,78.24
35293,2020-08-09,78.24
35294,2020-08-10,78.24
35295,2020-08-11,78.24
35296,2020-08-12,78.24
35297,2020-08-13,78.24
35298,2020-08-14,78.24
35299,2020-08-15,78.24
35300,2020-08-16,78.24
35301,2020-08-17,78.24
35302,2020-08-18,78.24
35303,2020-08-19,78.24
35304,2020-08-20,78.24
35305,2020-08-21,78.24
35306,2020-08-22,78.24
35307,2020-08-23,78.24
35308,2020-08-24,78.24
35309,2020-08-25,78.24
35310,2020-08-26,78.24
35311,2020-08-27,78.24
35312,2020-08-28,78.24
35313,2020-08-29,78.24
35314,2020-08-30,78.24
35315,2020-08-31,78.24
35316,2020-09-01,78.24
35317,2020-09-02,55.09
35318,2020-09-03,55.09
35319,2020-09-04,46.76
35320,2020-09-05,46.76
35321,2020-09-06,46.76
35322,2020-09-07,46.76
35323,2020-09-08,46.76
35324,2020-09-09,46.76
35325,2020-09-10,46.76
35326,2020-09-11,46.76
35327,2020-09-12,46.76
35328,2020-09-13,46.76
35329,2020-09-14,46.76
35330,2020-09-15,81.94
35331,2020-09-16,81.94
35332,2020-09-17,81.94
35333,2020-09-18,81.94
35334,2020-09-19,81.94
35335,2020-09-20,81.94
35336,2020-09-21,75.46
35337,2020-09-22,71.76
35338,2020-09-23,63.43
35339,2020-09-24,63.43
35340,2020-09-25,63.43
35341,2020-09-26,54.17
35342,2020-09-27,54.17
35343,2020-09-28,54.17
35344,2020-09-29,54.17
35345,2020-09-30,54.17
35346,2020-10-01,54.17
35347,2020-10-02,54.17
35348,2020-10-03,54.17
35349,2020-10-04,54.17
35350,2020-10-05,54.17
35351,2020-10-06,54.17
35352,2020-10-07,54.17
35353,2020-10-08,54.17
35354,2020-10-09,54.17
35355,2020-10-10,52.31
35356,2020-10-11,52.31
35357,2020-10-12,61.57
35358,2020-10-13,61.57
35359,2020-10-14,61.57
35360,2020-10-15,61.57
35361,2020-10-16,61.57
