,country_name,date,school_closing_c1m,workplace_closing_c2m,public_events_cancel_c3m,restrictions_on_gatherings_c4m,public_transpor_closing_c5m,stay_home_requirement_c6m,restrictions_internal_movement_c7m,international_travel_controls_c8ev,income_support_e1,debt_contract_relief_e2,public_information_campaigns_h1,testing_policy_h2,contact_tracing_h3,vaccines_investment_h5,facial_coverings_h6m,vaccination_policy_h7,protection_elderly_people_h8m,vaccine_prioritisation_s_v1,vaccine_availabitlity_s_v2a,vaccine_financial_support_s_v3,confirmed_cases,confirmed_deaths,majority_vaccinated,population_vaccinated,stringency_index_average,goverment_response_index_average,containment_health_index_average,economic_support_index
35072,China,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,0.0,5.99,6.85,0.0
35073,China,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,0.0,5.99,6.85,0.0
35074,China,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,0.0,5.99,6.85,0.0
35075,China,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,0.0,5.99,6.85,0.0
35076,China,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35077,China,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35078,China,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35079,China,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35080,China,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35081,China,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35082,China,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35083,China,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35084,China,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35085,China,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,2.78,10.68,12.2,0.0
35086,China,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,13.8,15.77,0.0
35087,China,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,13.8,15.77,0.0
35088,China,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,13.8,15.77,0.0
35089,China,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,13.8,15.77,0.0
35090,China,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,13.8,15.77,0.0
35091,China,2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,14.58,16.67,0.0
35092,China,2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0,0,0,0.0,0.0,NV,0.0,8.33,16.15,18.45,0.0
